id,town,year_entered,id_state
0,Real de Asientos,2006,1
1,Calvillo,2012,1
2,San Jose de Gracia,2015,1
3,Tecate,2012,2
4,Todos Santos,2006,3
5,Loreto,2012,3
6,Palizada,2011,4
7,Parras de la Fuente,2004,8
8,Cuatrocienegas,2012,8
9,Arteaga,2012,8
10,Viesca,2012,8
11,Candela,2015,8
12,Guerrero,2015,8
13,Comala,2002,9
14,San Cristobal de las Casas,2003,5
15,Comitan,2012,5
16,Chiapa de Corzo,2012,5
17,Palenque,2015,5
18,Creel,2007,6
19,Batopilas,2012,6
20,Casas Grandes,2015,6
21,Mapimi,2012,10
22,Dolores Hidalgo Cuna de la Independencia Nacional,2002,12
23,Mineral de Pozos,2012,12
24,Jalpa,2012,12
25,Salvatierra,2012,12
26,Yuriria,2012,12
27,Taxco,2002,13
28,Real del Monte,2004,14
29,Huasca de Ocampo,2001,14
30, Mineral del Chico,2011,14
31,Huichapan,2012,14
32,Tecozahutla,2015,14
33, Mazamitla,2005,15
34,Tapalpa,2002,15
35,Tequila,2003,15
36,San Sebastian del Oeste,2011,15
37,Lagos de Moreno,2012,15
38,Mascota,2015,15
39,Talpa de Allende,2015,15
40, Malinalco,2010,11
41,Tepotzotlan,2002,11
42,Valle de Bravo,2005,11
43,El Oro,2011,11
44,Metepec,2012,11
45,Aculco,2015,11
46,Ixtapan de la Sal,2015,11
47,Teotihuacan y San Martin de las Piramides,2015,11
48,Villa del Carbon,2015,11
49,Cuitzeo,2006,16
50,Patzcuaro,2002,16
51,Santa Clara del Cobre,2010,16
52,Tlalpujahua,2005,16
53,Mineral de Angangueo,2012,16
54,Tacambaro,2012,16
55,Jiquilpan,2012,16
56,Tzintzuntzan,2012,16
57,Tepoztlan,2002,17
58,Tlayacapan,2011,17
59,Jala,2012,18
60, Sayulita,2015,18
61,Santiago,2006,19
62,Linares,2015,19
63,Capul lpam de Mendez,2007,20
64,Huautla de Jimenez,2015,20
65,Mazunte,2015,20
66,San Pablo Villa de Mitla,2015,20
67,San Pedro y San Pablo Teposcolula,2015,20
68,Cuetzalan del Progreso,2002,21
69, Zacatlan,2011,21
70,Pahuatlan,2012,21
71,Chignahuapan,2012,21
72,Cholula,2012,21
73,Tlatlauquitepec,2012,21
74,Xicotepec,2012,21
75,Atlixco,2015,21
76, Huahuchinango,2015,21
77,Bernal,2005,22
78,Jalpan de Serra,2010,22
79,Cadereyta de Montes,2011,22
80,Tequisquiapan,2012,22
81,San Joaquin,2015,22
82,Bacalar,2006,23
83,Isla Mujeres ,2015,23
84,Tulum,2015,23
85,Real de Catorce,2001,24
86,Xilitla,2011,24
87,Cosal ,2005,25
88,El Fuerte,2009,25
89,El Rosario,2012,25
90,Mocorito,2015,25
91, Alamos,2005,26
92,Magdalena de Kino,2012,26
93,Tapijulapa,2010,27
94, Mier,2007,28
95,Tula,2011,28
96,Huamantla,2007,29
97,Tlaxco,2015,29
98,Coatepec,2006,30
99,Xico,2011,30
100,Papantla,2012,30
101,Orizaba,2015,30
102,Zozocolco,2015,30
103,Coscomatepec,2015,30
104,Izamal,2002,31
105,Valladolid,2012,31
106,Jerez de Garcia Salinas,2007,32
107,Teul de Gonz lez Ortega,2011,32
108,Sombrerete,2012,32
109,Pinos,2012,32
110,Nochistlan,2012,32
