estado,municipio,ano_ingreso,id_edo
Aguascalientes,Real de Asientos,2006,1
Aguascalientes,Calvillo,2012,1
Aguascalientes,San Jose de Gracia,2015,1
Baja California,Tecate,2012,2
Baja California Sur,Todos Santos,2006,3
Baja California Sur,Loreto,2012,3
Campeche,Palizada,2011,4
Coahuila,Parras de la Fuente,2004,8
Coahuila,Cuatrocienegas,2012,8
Coahuila,Arteaga,2012,8
Coahuila,Viesca,2012,8
Coahuila,Candela,2015,8
Coahuila,Guerrero,2015,8
Colima,Comala,2002,9
Chiapas,San Cristobal de las Casas,2003,5
Chiapas,Comitan,2012,5
Chiapas,Chiapa de Corzo,2012,5
Chiapas,Palenque,2015,5
Chihuahua,Creel,2007,6
Chihuahua,Batopilas,2012,6
Chihuahua,Casas Grandes,2015,6
Durango,Mapimi,2012,10
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,2002,12
Guanajuato,Mineral de Pozos,2012,12
Guanajuato,Jalpa,2012,12
Guanajuato,Salvatierra,2012,12
Guanajuato,Yuriria,2012,12
Guerrero,Taxco,2002,13
Hidalgo,Real del Monte,2004,14
Hidalgo,Huasca de Ocampo,2001,14
Hidalgo, Mineral del Chico,2011,14
Hidalgo,Huichapan,2012,14
Hidalgo,Tecozahutla,2015,14
Jalisco , Mazamitla,2005,15
Jalisco ,Tapalpa,2002,15
Jalisco ,Tequila,2003,15
Jalisco ,San Sebastian del Oeste,2011,15
Jalisco ,Lagos de Moreno,2012,15
Jalisco ,Mascota,2015,15
Jalisco ,Talpa de Allende,2015,15
Mexico, Malinalco,2010,11
Mexico,Tepotzotlan,2002,11
Mexico,Valle de Bravo,2005,11
Mexico,El Oro,2011,11
Mexico,Metepec,2012,11
Mexico,Aculco,2015,11
Mexico,Ixtapan de la Sal,2015,11
Mexico,Teotihuacan y San Martin de las Piramides,2015,11
Mexico,Villa del Carbon,2015,11
Michoacan,Cuitzeo,2006,16
Michoacan,Patzcuaro,2002,16
Michoacan,Santa Clara del Cobre,2010,16
Michoacan,Tlalpujahua,2005,16
Michoacan,Mineral de Angangueo,2012,16
Michoacan,Tacambaro,2012,16
Michoacan,Jiquilpan,2012,16
Michoacan,Tzintzuntzan,2012,16
Morelos,Tepoztlan,2002,17
Morelos,Tlayacapan,2011,17
Nayarit,Jala,2012,18
Nayarit, Sayulita,2015,18
Nuevo Leon,Santiago,2006,19
Nuevo Leon,Linares,2015,19
Oaxaca,Capul lpam de Mendez,2007,20
Oaxaca,Huautla de Jimenez,2015,20
Oaxaca,Mazunte,2015,20
Oaxaca,San Pablo Villa de Mitla,2015,20
Oaxaca,San Pedro y San Pablo Teposcolula,2015,20
Puebla,Cuetzalan del Progreso,2002,21
Puebla, Zacatlan,2011,21
Puebla,Pahuatlan,2012,21
Puebla,Chignahuapan,2012,21
Puebla,Cholula,2012,21
Puebla,Tlatlauquitepec,2012,21
Puebla,Xicotepec,2012,21
Puebla,Atlixco,2015,21
Puebla, Huahuchinango,2015,21
Queretaro,Bernal,2005,22
Queretaro,Jalpan de Serra,2010,22
Queretaro,Cadereyta de Montes,2011,22
Queretaro,Tequisquiapan,2012,22
Queretaro,San Joaquin,2015,22
Quintana Roo,Bacalar,2006,23
Quintana Roo,Isla Mujeres ,2015,23
Quintana Roo,Tulum,2015,23
San Luis Potosi,Real de Catorce,2001,24
San Luis Potosi,Xilitla,2011,24
Sinaloa,Cosal ,2005,25
Sinaloa,El Fuerte,2009,25
Sinaloa,El Rosario,2012,25
Sinaloa,Mocorito,2015,25
Sonora, Alamos,2005,26
Sonora,Magdalena de Kino,2012,26
Tabasco,Tapijulapa,2010,27
Tamaulipas, Mier,2007,28
Tamaulipas,Tula,2011,28
Tlaxcala,Huamantla,2007,29
Tlaxcala,Tlaxco,2015,29
Veracruz,Coatepec,2006,30
Veracruz,Xico,2011,30
Veracruz,Papantla,2012,30
Veracruz,Orizaba,2015,30
Veracruz,Zozocolco,2015,30
Veracruz,Coscomatepec,2015,30
Yucatan,Izamal,2002,31
Yucatan,Valladolid,2012,31
Zacatecas,Jerez de Garcia Salinas,2007,32
Zacatecas,Teul de Gonz lez Ortega,2011,32
Zacatecas,Sombrerete,2012,32
Zacatecas,Pinos,2012,32
Zacatecas,Nochistlan,2012,32
