ano,totalnacional,aguascalientes,baja california,baja california sur,campeche,coahuila,colima,chiapas,chihuahua,ciudad de mexico,durango,guanajuato,hidalgo,guerrero,jalisco,estado de mexico,michoacan,morelos,nayarit,nuevo leon,oaxaca,puebla,queretaro,quintana roo,san luis potosi,sinaloa,sonora,tabasco,tamaulipas,tlaxcala,veracruz,yucatan,zacatecas
2003,320817.877,3009.298,12204.779,5821.453,3540.521,4785.095,3225.666,6052.549,7612.652,60985.387,1962.652,9365.469,3582.343,10441.662,23282.562,18356.796,7477.54,5545.121,7442.226,15772.058,6352.153,8037.292,4417.751,32380.682,4706.504,7823.521,6902.357,5716.83,6559.963,2494.659,17981.905,4991.722,1986.709
2004,332481.375,2846.622,12381.124,7885.062,3353.797,5066.859,3185.748,6386.225,8531.909,63419.472,1987.078,9274.084,3277.533,13077.126,22163.198,18073.754,7331.995,5502.879,7734.155,15673.311,6833.573,7899.302,4604.826,35181.012,5763.839,7958.754,7407.234,5923.131,6831.824,2907.019,16649.322,5290.8,2078.808
2005,337861.348,2670.236,13254.712,11014.099,3517.394,5088.358,3370.707,6231.334,8293.606,63731.593,1982.342,9558.573,3115.424,12579.139,23969.114,17911.955,8951.234,5178.247,9260.542,16271.32,6843.696,6506.905,4669.789,32017.471,5302.651,9925.138,7766.069,5732.307,6499.536,2547.686,16003.211,5793.468,2303.492
2006,343231.522,2449.527,13115.948,13048.744,3540.237,5965.387,3498.966,4950.321,8912.666,58169.971,2259.835,10029.81,2976.643,12923.496,24658.656,20479.487,7807.425,6202.708,9977.811,16954.555,6233.009,6389.803,5153.362,31804.81,5246.736,10395.509,9329.852,6360.371,6619.897,2734.577,17191.663,5445.108,2404.632
2007,350260.505,2376.98,13091.387,15306.901,3436.569,5986.46,3180.688,6006.764,7609.848,56811.627,2236.939,9529.606,2946.893,13733.286,24726.775,22951.45,7415.091,5568.332,7684.346,18567.97,6323.959,6274.178,5210.042,41084.933,5506.387,10123.523,8619.016,5538.573,6701.126,1788.716,16060.765,5473.29,2388.085
2008,349724.847,2605.283,11072.794,13644.222,3418.067,6186.633,2869.044,6014.228,8932.106,57284.316,2348.798,9229.498,2611.448,14059.602,24842.627,22932.405,7687.477,5636.316,9330.366,17253.403,6570.725,6554.244,4902.69,44227.868,5960.915,10130.076,7458.026,5588.85,6978.607,1481.318,13827.448,5669.843,2415.604
2009,314846.534,2190.537,9984.99,13294.53,3641.034,5382.83,3074.594,5982.459,8063.444,48731.217,2320.742,8878.111,2108.66,11869.067,23067.045,19738.768,7648.239,5063.571,8603.284,14558.709,6597.347,6298.04,4537.701,37483.001,5154.13,9918.678,7231.783,5101.747,6387.353,1374.307,13439.748,4745.718,2375.15
2010,319526.714,2307.857,9735.826,13895.684,3708.478,5076.59,3081.683,5652.104,8084.042,50686.539,2345.391,9332.835,2430.67,12818.629,22724.65,18544.26,7457.483,4694.45,10144.167,13215.834,6544.451,6337.239,5054.769,43510.115,4501.921,9371.723,6926.27,5004.653,4856.793,1314.086,12790.663,4960.058,2416.801
2011,325321.844,2439.548,9929.754,14250.285,3834.313,5263.023,3179.156,5624.642,7724.338,53675.473,2173.036,9402.064,2851.879,11162.587,23275.943,20210.343,6745.784,4429.124,9612.622,12515.142,6843.724,6562.144,5303.781,45219.865,4721.922,9066.516,7455.681,5128.864,5613.15,1252.54,12377.503,5428.318,2048.78
2012,341158.208,2817.615,10206.564,15999.833,4123.956,5589.676,3222.677,5798.165,7301.801,56257.256,2273.304,10362.758,3314.977,11616.156,23997.35,19844.652,6793.939,4613.546,7516.852,14047.3,6678.7,7203.29,5675.607,50529.431,4777.003,8968.758,7908.348,5931.322,6097.053,1285.599,12858.147,5390.157,2156.416
