state,average_temperature,year,id_state
AGUASCALIENTES,17.714282930447073,2000,1
BAJA CALIFORNIA,18.810070592614696,2000,2
BAJA CALIFORNIA SUR,22.146658493693987,2000,3
CAMPECHE,25.879603869808708,2000,4
CHIAPAS,23.534906728847773,2000,5
CHIHUAHUA,17.318546873740342,2000,6
CIUDAD DE MÉXICO,15.96882578087772,2000,7
COAHUILA,20.356863658672236,2000,8
COLIMA,25.446573211728893,2000,9
DURANGO,17.33724857256206,2000,10
ESTADO DE MÉXICO,14.230193414996299,2000,11
GUANAJUATO,18.299118057911663,2000,12
GUERRERO,24.699747664835954,2000,13
HIDALGO,16.3071748334841,2000,14
JALISCO,20.526152615657278,2000,15
MICHOACÁN,18.992266804585075,2000,16
MORELOS,21.537771728656796,2000,17
NAYARIT,24.824525238104204,2000,18
NUEVO LEÓN,20.80316589743643,2000,19
OAXACA,21.59435208012847,2000,20
PUEBLA,17.403364467884632,2000,21
QUERÉTARO,18.08560025223966,2000,22
QUINTANA ROO,25.18563771943516,2000,23
SAN LUIS POTOSÍ,21.303804972912992,2000,24
SINALOA,24.747035670907795,2000,25
SONORA,22.522135830065764,2000,26
TABASCO,26.042711674070432,2000,27
TAMAULIPAS,23.700500934871712,2000,28
TLAXCALA,14.408428085176014,2000,29
VERACRUZ,23.042701825358666,2000,30
YUCATÁN,26.0160996202306,2000,31
ZACATECAS,17.338450655382704,2000,32
AGUASCALIENTES,17.656212748780266,2001,1
BAJA CALIFORNIA,18.686050862732483,2001,2
BAJA CALIFORNIA SUR,22.215326005260682,2001,3
CAMPECHE,25.87008008811614,2001,4
CHIAPAS,23.73595981240226,2001,5
CHIHUAHUA,16.869489672647315,2001,6
CIUDAD DE MÉXICO,15.708546657182469,2001,7
COAHUILA,20.420611365797637,2001,8
COLIMA,25.858245575904803,2001,9
DURANGO,17.395625509316794,2001,10
ESTADO DE MÉXICO,13.809512720951027,2001,11
GUANAJUATO,18.086142871240114,2001,12
GUERRERO,25.266894664932078,2001,13
HIDALGO,16.890080135897957,2001,14
JALISCO,20.427265429994637,2001,15
MICHOACÁN,18.384935383670264,2001,16
MORELOS,21.280481627288165,2001,17
NAYARIT,24.704904334145755,2001,18
NUEVO LEÓN,20.129409267902513,2001,19
OAXACA,21.361149069358465,2001,20
PUEBLA,17.525112622951017,2001,21
QUERÉTARO,17.433051954019383,2001,22
QUINTANA ROO,25.414288891106704,2001,23
SAN LUIS POTOSÍ,21.359571181183682,2001,24
SINALOA,24.74937776105983,2001,25
SONORA,22.29584650805178,2001,26
TABASCO,26.058333333333334,2001,27
TAMAULIPAS,23.532361451145906,2001,28
TLAXCALA,14.08569819697891,2001,29
VERACRUZ,23.20725910679235,2001,30
YUCATÁN,26.29426331309028,2001,31
ZACATECAS,17.09373964729592,2001,32
AGUASCALIENTES,18.258704094698558,2002,1
BAJA CALIFORNIA,18.827796733680387,2002,2
BAJA CALIFORNIA SUR,22.134331931866388,2002,3
CAMPECHE,26.0977514349046,2002,4
CHIAPAS,23.889388656114267,2002,5
CHIHUAHUA,19.949171132239815,2002,6
CIUDAD DE MÉXICO,15.916776413869732,2002,7
COAHUILA,21.153703059830956,2002,8
COLIMA,25.048057637518863,2002,9
DURANGO,17.60461329180788,2002,10
ESTADO DE MÉXICO,13.98577995129875,2002,11
GUANAJUATO,18.287527402915554,2002,12
GUERRERO,25.308181836800912,2002,13
HIDALGO,16.603115513381915,2002,14
JALISCO,20.595233973271824,2002,15
MICHOACÁN,18.740304120828373,2002,16
MORELOS,21.344687685146226,2002,17
NAYARIT,25.103006417129166,2002,18
NUEVO LEÓN,17.331754958177758,2002,19
OAXACA,21.856692778958436,2002,20
PUEBLA,18.187443197630962,2002,21
QUERÉTARO,17.57476157561381,2002,22
QUINTANA ROO,26.058807505526065,2002,23
SAN LUIS POTOSÍ,21.172015820508175,2002,24
SINALOA,25.27232501485909,2002,25
SONORA,22.497941755609787,2002,26
TABASCO,27.106021695833334,2002,27
TAMAULIPAS,23.368810496013378,2002,28
TLAXCALA,14.382357479107304,2002,29
VERACRUZ,23.350932159029668,2002,30
YUCATÁN,25.818618384236114,2002,31
ZACATECAS,17.14246415592531,2002,32
AGUASCALIENTES,17.668350520623928,2003,1
BAJA CALIFORNIA,17.963519366519396,2003,2
BAJA CALIFORNIA SUR,22.416286340415606,2003,3
CAMPECHE,25.98265061133486,2003,4
CHIAPAS,24.057727113335687,2003,5
CHIHUAHUA,18.645801903571932,2003,6
CIUDAD DE MÉXICO,16.19919353838492,2003,7
COAHUILA,21.12421996015706,2003,8
COLIMA,26.171874670670633,2003,9
DURANGO,17.728264164228566,2003,10
ESTADO DE MÉXICO,14.715526639666228,2003,11
GUANAJUATO,18.318037319231774,2003,12
GUERRERO,24.943774041015974,2003,13
HIDALGO,17.003972921947703,2003,14
JALISCO,20.578304373960645,2003,15
MICHOACÁN,17.883577437773727,2003,16
MORELOS,21.58017637265976,2003,17
NAYARIT,24.392394361953702,2003,18
NUEVO LEÓN,16.7689237998765,2003,19
OAXACA,23.024986353593857,2003,20
PUEBLA,17.553188999923822,2003,21
QUERÉTARO,18.51144551490825,2003,22
QUINTANA ROO,25.55752200183336,2003,23
SAN LUIS POTOSÍ,21.442773369135463,2003,24
