LON,LAT,EDO,CLAVE_SIH,ENE,,,,,
-102.309722,21.895,AGS,AGSAG,6.61,,,,,
-102.466944,22.188611,AGS,ANVAG,10.6,,,,,
-102.184167,21.738611,AGS,BRTAG,10.5,,,,,
-102.712222,21.849167,AGS,CALVILLO,18.17,,,,,
-102.676944,21.9975,AGS,CDRAG,16.7,,,,,
-102.197222,22.007222,AGS,CHOAG,17.3,,,,,
-102.189167,21.826667,AGS,CLVAG,9.2,,,,,
-102,21.896389,AGS,CNSAG,13.2,,,,,
-102.296667,22.362778,AGS,CSOAG,7.2,,,,,
-102.356944,22.121667,AGS,JCQAG,6.3,,,,,
-102.788333,21.8075,AGS,MNLAG,24.3,,,,,
-102.371667,21.78,AGS,NGRAG,5.51,,,,,
-102.001944,22.020556,AGS,NVLAG,15.5,,,,,
-102.290556,21.850833,AGS,OBSAG,8.71,,,,,
-102.465,22.189167,AGS,P50ANIV,10.4,,,,,
-101.966667,21.916667,AGS,PALAG,11,,,,,
-102.291944,22.1625,AGS,PBLAG,6.8,,,,,
-102.417222,22.141111,AGS,PECAG,6,,,,,
-102.133333,22.202778,AGS,PTOAG,11.53,,,,,
-102.4375,22.235,AGS,PTRAG,17.41,,,,,
-102.108889,21.885,AGS,SNVAG,6,,,,,
-102.127778,21.807778,AGS,TNJAG,11,,,,,
-102.0675,22.097778,AGS,VJZAG,22.2,,,,,
-116.204167,32.271944,BC,AGHBN,18.82,,,,,
-116.908333,32.444722,BC,ALRBN,48.2,,,,,
-114.719167,29.727222,BC,CATAVINA,11.31,,,,,
-116.696944,32.479444,BC,CRRBN,58.7,,,,,
-116.828333,32.468056,BC,EFLBN,20.6,,,,,
-116.6025,31.890278,BC,ELZBN,48.42,,,,,
-115.15,32.411111,BC,ENLBN,8.9,,,,,
-114.728056,32.705,BC,JMRBN,3.51,,,,,
-115.27,32.39,BC,MXCBN,9.31,,,,,
-114.729444,32.703889,BC,PDMBN,3.51,,,,,
-117.071389,32.3775,BC,PLAYAROSARITO,73.4,,,,,
-114.85,31.033333,BC,SFLBN,1.2,,,,,
-111.658333,25.001389,BCS,CCNBS,4.1,,,,,
-109.9125,22.881944,BCS,CSLBS,4,,,,,
