state,maximum_temperature,year,id_state
AGUASCALIENTES,26.9322504317537,2000,1
BAJA CALIFORNIA,26.933116918210573,2000,2
BAJA CALIFORNIA SUR,30.59741487982097,2000,3
CAMPECHE,32.66632040126934,2000,4
CHIAPAS,30.029210582297523,2000,5
CHIHUAHUA,26.25719937545158,2000,6
CIUDAD DE MÉXICO,23.166576423090387,2000,7
COAHUILA,28.563012862953062,2000,8
COLIMA,32.864620422922094,2000,9
DURANGO,26.567714150020933,2000,10
ESTADO DE MÉXICO,22.405694498251936,2000,11
GUANAJUATO,27.106213463012633,2000,12
GUERRERO,31.825581448938223,2000,13
HIDALGO,24.501018744930477,2000,14
JALISCO,29.501448712451737,2000,15
MICHOACÁN,27.442210577684794,2000,16
MORELOS,29.731309425326767,2000,17
NAYARIT,33.00778786040382,2000,18
NUEVO LEÓN,28.57494248716664,2000,19
OAXACA,28.58730907168851,2000,20
PUEBLA,25.292098807220853,2000,21
QUERÉTARO,26.21308632175199,2000,22
QUINTANA ROO,31.418018717486245,2000,23
SAN LUIS POTOSÍ,29.203953802927003,2000,24
SINALOA,32.956021513802426,2000,25
SONORA,31.909257656313017,2000,26
TABASCO,31.216793486365237,2000,27
TAMAULIPAS,30.451878937945953,2000,28
TLAXCALA,23.458842996689068,2000,29
VERACRUZ,28.889097165020463,2000,30
YUCATÁN,33.104869867073674,2000,31
ZACATECAS,26.665750566470408,2000,32
AGUASCALIENTES,26.434091357120096,2001,1
BAJA CALIFORNIA,26.516272804758614,2001,2
BAJA CALIFORNIA SUR,30.34384571512653,2001,3
CAMPECHE,32.44952899866224,2001,4
CHIAPAS,30.196503798758908,2001,5
CHIHUAHUA,25.238527912196904,2001,6
CIUDAD DE MÉXICO,23.03858733989034,2001,7
COAHUILA,28.333451868988067,2001,8
COLIMA,33.34581838625208,2001,9
DURANGO,26.30301092321595,2001,10
ESTADO DE MÉXICO,21.93104886971197,2001,11
GUANAJUATO,26.553322787562603,2001,12
GUERRERO,32.34082003609447,2001,13
HIDALGO,24.617182813779976,2001,14
JALISCO,29.187493208504886,2001,15
MICHOACÁN,26.632831739774137,2001,16
MORELOS,29.141649201220417,2001,17
NAYARIT,32.98032757096769,2001,18
NUEVO LEÓN,27.664798815149197,2001,19
OAXACA,28.114439472497804,2001,20
PUEBLA,25.467043469283908,2001,21
QUERÉTARO,25.359789675901073,2001,22
QUINTANA ROO,31.714008506000354,2001,23
SAN LUIS POTOSÍ,28.909140900838064,2001,24
SINALOA,32.848386144179365,2001,25
SONORA,31.518748379898373,2001,26
TABASCO,31.308333333333337,2001,27
TAMAULIPAS,30.151614773838187,2001,28
TLAXCALA,22.43132030988157,2001,29
VERACRUZ,28.66694120733334,2001,30
YUCATÁN,32.4227976188889,2001,31
ZACATECAS,25.870296287367548,2001,32
AGUASCALIENTES,26.68526804058109,2002,1
BAJA CALIFORNIA,26.970207867579315,2002,2
BAJA CALIFORNIA SUR,30.32832553030515,2002,3
CAMPECHE,32.56746039451424,2002,4
CHIAPAS,30.36860175237298,2002,5
CHIHUAHUA,28.461863968489386,2002,6
