state,minimum_temperature,year,id_state
AGUASCALIENTES,8.496315429140443,2000,1
BAJA CALIFORNIA,10.68702426701882,2000,2
BAJA CALIFORNIA SUR,13.695902107567006,2000,3
CAMPECHE,19.092887338348074,2000,4
CHIAPAS,17.040602875398033,2000,5
CHIHUAHUA,8.379894372029101,2000,6
CIUDAD DE MÉXICO,8.771075138665056,2000,7
COAHUILA,12.150714454391407,2000,8
COLIMA,18.0285260005357,2000,9
DURANGO,8.10678299510319,2000,10
ESTADO DE MÉXICO,6.054692331740657,2000,11
GUANAJUATO,9.492022652810697,2000,12
GUERRERO,17.573913880733684,2000,13
HIDALGO,8.113330922037727,2000,14
JALISCO,11.55085651886281,2000,15
MICHOACÁN,10.542323031485353,2000,16
MORELOS,13.344234031986838,2000,17
NAYARIT,16.64126261580459,2000,18
NUEVO LEÓN,13.031389307706212,2000,19
OAXACA,14.601395088568431,2000,20
PUEBLA,9.51463012854842,2000,21
QUERÉTARO,9.958114182727334,2000,22
QUINTANA ROO,18.953256721384083,2000,23
SAN LUIS POTOSÍ,13.403656142898976,2000,24
SINALOA,16.53804982801316,2000,25
SONORA,13.135014003818524,2000,26
TABASCO,20.86862986177564,2000,27
TAMAULIPAS,16.949122931797472,2000,28
TLAXCALA,5.358013173662962,2000,29
VERACRUZ,17.196306485696876,2000,30
YUCATÁN,18.927329373387526,2000,31
ZACATECAS,8.011150744295003,2000,32
AGUASCALIENTES,8.878334140440439,2001,1
BAJA CALIFORNIA,10.855828920706353,2001,2
BAJA CALIFORNIA SUR,14.086806295394828,2001,3
CAMPECHE,19.290631177570038,2001,4
CHIAPAS,17.27541582604563,2001,5
CHIHUAHUA,8.500451433097728,2001,6
CIUDAD DE MÉXICO,8.378505974474592,2001,7
COAHUILA,12.507770862607204,2001,8
COLIMA,18.370672765557526,2001,9
DURANGO,8.488240095417643,2001,10
ESTADO DE MÉXICO,5.687976572190094,2001,11
GUANAJUATO,9.61896295491763,2001,12
GUERRERO,18.19296929376969,2001,13
HIDALGO,9.162977458015943,2001,14
JALISCO,11.667037651484394,2001,15
MICHOACÁN,10.137039027566397,2001,16
MORELOS,13.419314053355912,2001,17
NAYARIT,16.429481097323823,2001,18
NUEVO LEÓN,12.59401972065583,2001,19
OAXACA,14.607858666219125,2001,20
PUEBLA,9.58318177661813,2001,21
QUERÉTARO,9.506314232137688,2001,22
QUINTANA ROO,19.114569276213057,2001,23
SAN LUIS POTOSÍ,13.810001461529295,2001,24
SINALOA,16.650369377940297,2001,25
SONORA,13.072944636205188,2001,26
TABASCO,20.808333333333334,2001,27
TAMAULIPAS,16.91310812845363,2001,28
TLAXCALA,5.740076084076258,2001,29
VERACRUZ,17.74757700625136,2001,30
YUCATÁN,20.165729007291663,2001,31
ZACATECAS,8.317183007224289,2001,32
AGUASCALIENTES,9.83214014881602,2002,1
BAJA CALIFORNIA,10.685385599781464,2002,2
BAJA CALIFORNIA SUR,13.940338333427627,2002,3
CAMPECHE,19.628042475294958,2002,4
CHIAPAS,17.410175559855553,2002,5
CHIHUAHUA,11.436478295990254,2002,6
CIUDAD DE MÉXICO,8.570820165994895,2002,7
COAHUILA,12.838798041824944,2002,8
COLIMA,17.662131483865945,2002,9
DURANGO,8.640778184798735,2002,10
ESTADO DE MÉXICO,5.986447320117961,2002,11
GUANAJUATO,9.889783707723401,2002,12
GUERRERO,18.3340318529907,2002,13
HIDALGO,8.545187415623374,2002,14
JALISCO,12.103786962552732,2002,15
MICHOACÁN,10.64462456317373,2002,16
MORELOS,13.489821021686177,2002,17
NAYARIT,16.514468277675,2002,18
NUEVO LEÓN,8.687462003558112,2002,19
OAXACA,14.980196742758617,2002,20
PUEBLA,10.12348557110287,2002,21
QUERÉTARO,9.598072033846115,2002,22
QUINTANA ROO,19.612356636278378,2002,23
SAN LUIS POTOSÍ,13.466337856653519,2002,24
SINALOA,16.67174212419565,2002,25
SONORA,12.936103650776145,2002,26
TABASCO,21.581309439166663,2002,27
TAMAULIPAS,16.59541652185209,2002,28
TLAXCALA,5.729859880426212,2002,29
VERACRUZ,17.56582523265756,2002,30
YUCATÁN,19.795020745416668,2002,31
ZACATECAS,8.45993882320375,2002,32
AGUASCALIENTES,8.727491169609626,2003,1
BAJA CALIFORNIA,9.879549569035305,2003,2
BAJA CALIFORNIA SUR,14.437951683426318,2003,3
