state,precipitation,year,id_state
AGUASCALIENTES,417.6844444444445,2000,1
BAJA CALIFORNIA,95.78388808192946,2000,2
BAJA CALIFORNIA SUR,105.2725264070304,2000,3
CAMPECHE,1406.3747500164616,2000,4
CHIAPAS,2170.1518464249616,2000,5
CHIHUAHUA,306.5819397797381,2000,6
CIUDAD DE MÉXICO,762.89371034451,2000,7
COAHUILA,388.0129357085603,2000,8
COLIMA,759.6854410589411,2000,9
DURANGO,319.1,2000,10
ESTADO DE MÉXICO,667.7993084556877,2000,11
GUANAJUATO,1080.5213761199461,2000,12
GUERRERO,816.9499045044798,2000,13
HIDALGO,591.1142909311343,2000,14
JALISCO,632.273078171125,2000,15
MICHOACÁN,797.3772433555245,2000,16
MORELOS,941.1311782674792,2000,17
NAYARIT,1149.4130681818183,2000,18
NUEVO LEÓN,453.06076264097806,2000,19
OAXACA,1677.1210814800122,2000,20
PUEBLA,1983.1741035990854,2000,21
QUERÉTARO,372.66237708873143,2000,22
QUINTANA ROO,1446.430195311195,2000,23
SAN LUIS POTOSÍ,645.6958071029525,2000,24
SINALOA,691.9000000000001,2000,25
SONORA,352.32619464658904,2000,26
TABASCO,2511.2247691990333,2000,27
TAMAULIPAS,837.3732431047205,2000,28
TLAXCALA,627.4017630982801,2000,29
VERACRUZ,1948.2190274132652,2000,30
YUCATÁN,843.5207412548277,2000,31
ZACATECAS,492.7474608518946,2000,32
AGUASCALIENTES,399.2,2001,1
BAJA CALIFORNIA,229.00000000000003,2001,2
BAJA CALIFORNIA SUR,158.79999999999998,2001,3
CAMPECHE,1488.0,2001,4
CHIAPAS,2269.8999999999996,2001,5
CHIHUAHUA,322.9,2001,6
CIUDAD DE MÉXICO,823.6,2001,7
COAHUILA,305.1,2001,8
COLIMA,715.3,2001,9
DURANGO,251.0,2001,10
ESTADO DE MÉXICO,742.9,2001,11
GUANAJUATO,717.1999999999999,2001,12
GUERRERO,1028.4,2001,13
HIDALGO,651.2,2001,14
JALISCO,670.6999999999999,2001,15
MICHOACÁN,893.4000000000001,2001,16
MORELOS,1111.6,2001,17
NAYARIT,1025.4,2001,18
NUEVO LEÓN,590.1,2001,19
OAXACA,1737.6,2001,20
PUEBLA,1439.9999999999998,2001,21
QUERÉTARO,595.0,2001,22
QUINTANA ROO,1550.2,2001,23
SAN LUIS POTOSÍ,704.7,2001,24
SINALOA,528.6,2001,25
SONORA,343.0,2001,26
TABASCO,2451.4000000000005,2001,27
TAMAULIPAS,756.1,2001,28
TLAXCALA,679.3000000000001,2001,29
VERACRUZ,1980.7000000000003,2001,30
YUCATÁN,877.7,2001,31
ZACATECAS,490.79999999999995,2001,32
AGUASCALIENTES,613.4,2002,1
BAJA CALIFORNIA,85.3,2002,2
BAJA CALIFORNIA SUR,92.5,2002,3
CAMPECHE,1635.3999999999999,2002,4
CHIAPAS,2088.0,2002,5
CHIHUAHUA,353.6,2002,6
CIUDAD DE MÉXICO,768.2,2002,7
COAHUILA,425.30000000000007,2002,8
COLIMA,956.5999999999999,2002,9
DURANGO,379.3,2002,10
ESTADO DE MÉXICO,703.5,2002,11
GUANAJUATO,810.5,2002,12
GUERRERO,1001.6000000000001,2002,13
HIDALGO,615.9000000000001,2002,14
JALISCO,792.2,2002,15
MICHOACÁN,941.1999999999999,2002,16
MORELOS,785.2,2002,17
NAYARIT,1044.0,2002,18
NUEVO LEÓN,703.9,2002,19
OAXACA,1496.3999999999999,2002,20
PUEBLA,1280.7,2002,21
QUERÉTARO,541.1000000000001,2002,22
QUINTANA ROO,1537.6999999999998,2002,23
SAN LUIS POTOSÍ,793.2,2002,24
SINALOA,489.3,2002,25
SONORA,228.3,2002,26
TABASCO,2297.2,2002,27
TAMAULIPAS,799.7,2002,28
TLAXCALA,624.8000000000001,2002,29
VERACRUZ,1495.6,2002,30
